A,B,C,D,Volume,Height,H2
5.00,-39.00,2.00,2.00,9.591381,2255.008764,2.713496
6.00,-39.00,2.00,2.00,10.112899,2330.356461,2.775718
7.00,-39.00,2.00,2.00,9.991351,2309.526251,2.752656
8.00,-39.00,2.00,2.00,10.033508,1914.457394,2.465413
9.00,-39.00,2.00,2.00,10.682801,2251.172451,2.747460
10.00,-39.00,2.00,2.00,9.520266,2161.753365,2.485444
0.00,-36.00,2.00,2.00,9.513547,2759.258300,3.982133
1.00,-36.00,2.00,2.00,9.817981,2250.624783,3.019463
2.00,-36.00,2.00,2.00,9.889395,2408.411744,2.952017
3.00,-36.00,2.00,2.00,10.817697,2509.799378,3.032555
4.00,-36.00,2.00,2.00,9.277666,2299.578569,2.627780
5.00,-36.00,2.00,2.00,9.200072,2356.645861,2.823548
6.00,-36.00,2.00,2.00,10.000942,2520.894521,2.968253
7.00,-36.00,2.00,2.00,9.934288,2499.174422,2.943666
8.00,-36.00,2.00,2.00,9.955090,2068.652661,2.620815
9.00,-36.00,2.00,2.00,10.501173,2436.862222,2.935409
10.00,-36.00,2.00,2.00,9.471454,2340.336602,2.665447
0.00,-33.00,2.00,2.00,9.457975,3003.131402,4.235853
1.00,-33.00,2.00,2.00,9.534440,2447.010012,3.219597
2.00,-33.00,2.00,2.00,9.833970,2621.103198,3.167439
3.00,-33.00,2.00,2.00,10.515767,2732.491693,3.257733
4.00,-33.00,2.00,2.00,9.278045,2506.343363,2.836351
5.00,-33.00,2.00,2.00,9.464147,2658.261978,3.119966
6.00,-33.00,2.00,2.00,9.832046,2746.881512,3.196020
7.00,-33.00,2.00,2.00,9.805928,2722.841339,3.168910
8.00,-33.00,2.00,2.00,9.917845,2249.523154,2.803183
9.00,-33.00,2.00,2.00,10.567506,2655.899255,3.157289
10.00,-33.00,2.00,2.00,9.424524,2551.146864,2.877904
0.00,-30.00,2.00,2.00,9.437904,3294.292226,4.539539
1.00,-30.00,2.00,2.00,9.673857,2680.332737,3.457557
2.00,-30.00,2.00,2.00,9.703282,2842.000186,3.394582
3.00,-30.00,2.00,2.00,10.499738,2998.938222,3.527419
4.00,-30.00,2.00,2.00,9.427604,2748.236574,3.082959
5.00,-30.00,2.00,2.00,9.438475,2918.836458,3.382845
6.00,-30.00,2.00,2.00,9.713633,3017.350771,3.468571
7.00,-30.00,2.00,2.00,9.731751,2990.254359,3.438404
8.00,-30.00,2.00,2.00,9.754309,2464.630992,3.020180
9.00,-30.00,2.00,2.00,10.387592,2918.201555,3.423244
10.00,-30.00,2.00,2.00,9.423846,2803.562039,3.132439
0.00,-60.00,3.00,2.00,11.148092,1542.455893,2.346316
1.00,-60.00,3.00,2.00,10.091384,1091.555040,1.530698
2.00,-60.00,3.00,2.00,10.574787,1265.229236,1.634994
3.00,-60.00,3.00,2.00,10.852278,1278.918026,1.638147
8.00,-60.00,3.00,2.00,9.823998,1043.565703,1.457990
9.00,-60.00,3.00,2.00,10.385343,1207.841166,1.561498
0.00,-57.00,3.00,2.00,11.035272,1622.194510,2.427730
1.00,-57.00,3.00,2.00,10.033536,1149.136050,1.588793
2.00,-57.00,3.00,2.00,10.324208,1321.448917,1.690985
3.00,-57.00,3.00,2.00,10.700221,1344.406277,1.705413
4.00,-57.00,3.00,2.00,9.216867,1176.857424,1.436225
5.00,-57.00,3.00,2.00,7.679966,1369.609104,1.699941
6.00,-57.00,3.00,2.00,7.680000,1364.442941,1.690957
7.00,-57.00,3.00,2.00,7.680008,1366.749518,1.691336
8.00,-57.00,3.00,2.00,9.854569,1097.685877,1.512488
0.00,-54.00,3.00,2.00,10.867538,1710.551894,2.518027
1.00,-54.00,3.00,2.00,10.047350,1213.079391,1.653323
2.00,-54.00,3.00,2.00,10.015056,1329.749835,1.705692
3.00,-54.00,3.00,2.00,10.543424,1436.848827,1.796457
4.00,-54.00,3.00,2.00,9.139907,1241.040899,1.500836
5.00,-54.00,3.00,2.00,7.680000,1454.225825,1.788846
6.00,-54.00,3.00,2.00,7.679974,1504.793068,1.830556
7.00,-54.00,3.00,2.00,7.680007,1441.148690,1.766301
9.00,-54.00,3.00,2.00,10.427830,1341.889085,1.696931
10.00,-54.00,3.00,2.00,9.804926,1265.661448,1.525217
0.00,-51.00,3.00,2.00,10.739312,1809.011987,2.618763
