FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A2_00_B_48_00_C3_00_D1_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7691,0.0003,3207539.4089
job_A2_00_B_48_00_C3_00_D2_00.odb,-2.488,0.958,5.659,0.1069,0.2802,6.2024,1137.5925,2.1745
job_A2_00_B_48_00_C3_00_D3_00.odb,-2.237,1.572,3.509,0.1235,0.3829,9.8714,832.5404,3.4247
job_A2_00_B_51_00_C2_00_D1_00.odb,-3.185,1.014,5.427,0.1617,0.2158,6.6055,1477.3209,2.3044
job_A2_00_B_51_00_C2_00_D2_00.odb,-1.553,0.996,4.498,0.095,0.2999,7.6707,1062.9447,2.6617
job_A2_00_B_51_00_C2_00_D3_00.odb,-2.61,1.034,3.157,0.1333,0.3641,11.0737,875.5406,3.8185
job_A2_00_B_51_00_C2_00_D4_00.odb,-3.021,1.407,4.044,0.1389,0.3737,8.6246,853.0065,3.0153
job_A2_00_B_51_00_C3_00_D1_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A2_00_B_51_00_C3_00_D2_00.odb,-2.358,0.942,5.553,0.107,0.2817,6.2656,1131.547,2.1959
job_A2_00_B_51_00_C3_00_D3_00.odb,-2.376,1.606,3.568,0.1191,0.3694,9.6798,863.0579,3.3556
job_A2_00_B_54_00_C2_00_D1_00.odb,-3.177,1.02,5.246,0.1613,0.2203,6.7562,1447.3052,2.3555
job_A2_00_B_54_00_C2_00_D2_00.odb,-1.521,1.001,4.445,0.0956,0.2993,7.7199,1065.1169,2.6779
job_A2_00_B_54_00_C2_00_D3_00.odb,-2.555,1.069,3.224,0.1319,0.362,10.6438,880.6253,3.6754
job_A2_00_B_54_00_C2_00_D4_00.odb,-2.656,1.355,3.597,0.1402,0.345,9.5461,924.1204,3.3103
job_A2_00_B_54_00_C3_00_D3_00.odb,-2.269,1.505,3.462,0.1143,0.3796,9.8357,839.8074,3.4088
job_A2_00_B_57_00_C2_00_D1_00.odb,-2.866,0.995,5.003,0.1503,0.2303,7.0083,1384.2528,2.4383
job_A2_00_B_57_00_C2_00_D2_00.odb,-1.4,1.013,4.55,0.0964,0.2953,7.4832,1079.4558,2.5987
job_A2_00_B_57_00_C2_00_D3_00.odb,-2.073,1.091,3.296,0.1322,0.3618,10.2604,881.0948,3.5489
job_A2_00_B_57_00_C2_00_D4_00.odb,-2.747,1.292,3.442,0.1359,0.3762,9.8895,847.4296,3.4325
job_A2_00_B_57_00_C3_00_D3_00.odb,-2.314,1.588,3.595,0.1125,0.371,9.4445,859.1404,3.2763
job_A2_00_B_60_00_C2_00_D1_00.odb,-2.844,1.05,5.238,0.1457,0.2328,6.6289,1369.301,2.3124
job_A2_00_B_60_00_C2_00_D2_00.odb,-1.575,1.04,4.538,0.0939,0.2955,7.4358,1078.6492,2.5823
job_A2_00_B_60_00_C2_00_D3_00.odb,-2.21,1.15,3.568,0.1293,0.3681,9.4781,865.9583,3.2919
job_A2_00_B_60_00_C2_00_D4_00.odb,-2.676,1.259,3.549,0.1339,0.3783,9.5267,842.6006,3.3129
job_A2_00_B_60_00_C3_00_D1_00.odb,-2.885,1.512,5.091,0.1172,0.2807,6.73,1135.5811,2.3522
job_A2_00_B_60_00_C3_00_D3_00.odb,-2.352,1.712,3.373,0.1136,0.401,9.9979,795.0353,3.4691
job_A3_00_B_30_00_C2_00_D1_00.odb,-5.561,0.852,3.695,0.1312,0.4309,9.8747,739.7273,3.4442
