Category,A,B,C,Volume,vol_reduce(%),Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index,Phi_Comp_Norm,Gamma_Allie_Norm,Omega_Stiff_Norm,vol_reduce(%)_Norm,SEI_J_Index_Rigorous,SEI_Score_100
A,0.0,90.0,3.3,13.546875,22.59,-3.091,1.139,3.186,0.2124,0.5702,8.2587,559.0861,2.9836,0.4203,0.2867,0.2292,0.7046,0.461,46.1
A,0.0,90.0,3.4,14.294493,18.32,-2.87,1.244,2.872,0.2014,0.5899,8.6824,540.3524,3.1263,0.3526,0.3089,0.2515,0.6058,0.4129,41.29
A,0.0,90.0,3.5,13.414511,23.35,-2.721,1.229,2.745,0.197,0.6044,9.68,527.467,3.4589,0.3255,0.3252,0.3041,0.7222,0.4541,45.41
A,0.0,90.0,4.2,13.735934,21.51,-3.155,1.571,3.558,0.2132,0.5348,7.2934,596.0688,2.6537,0.4252,0.2468,0.1783,0.6796,0.4391,43.91
A,0.0,90.0,4.3,13.735934,21.51,-3.155,1.571,3.558,0.2132,0.5348,7.2934,596.0688,2.6537,0.4252,0.2468,0.1783,0.6796,0.4391,43.91
A,0.0,90.0,4.4,15.056079,13.97,-2.82,1.215,2.977,0.2068,0.6015,7.9525,529.9556,2.8911,0.3858,0.3219,0.2131,0.5052,0.3862,38.62
A,0.0,90.0,4.5,14.117616,19.33,-2.678,1.633,2.797,0.2077,0.6373,9.0269,500.2228,3.2577,0.3914,0.3622,0.2697,0.6292,0.4455,44.55
A,0.0,90.0,5.4,15.69857,10.29,-2.745,1.253,3.072,0.1984,0.6058,7.3912,526.2006,2.7045,0.3342,0.3268,0.1835,0.4201,0.3365,33.65
A,0.0,98.0,3.1,14.52811,16.98,-3.399,1.15,3.305,0.2094,0.5264,7.4236,605.5454,2.6926,0.4018,0.2374,0.1852,0.5748,0.396,39.6
A,0.0,98.0,3.5,13.240354,24.34,-2.777,1.275,2.948,0.1897,0.5499,9.132,579.7557,3.2576,0.2806,0.2638,0.2753,0.7451,0.4318,43.18
A,0.0,98.0,4.1,14.569365,16.75,-2.89,1.225,3.625,0.2104,0.5032,6.7491,633.4958,2.4627,0.408,0.2112,0.1496,0.5695,0.386,38.6
A,0.0,98.0,4.4,15.532577,11.24,-2.971,1.971,2.931,0.2003,0.6164,7.8295,517.1858,2.8532,0.3458,0.3387,0.2066,0.4421,0.3535,35.35
A,0.0,98.0,5.1,16.022139,8.44,-2.843,1.265,3.677,0.199,0.4957,6.0503,643.0559,2.2258,0.3378,0.2028,0.1128,0.3773,0.291,29.1
A,0.0,106.0,3.4,14.006189,19.96,-3.003,1.424,3.216,0.1939,0.5043,7.9133,632.1083,2.8418,0.3065,0.2125,0.211,0.6438,0.3873,38.73
A,0.0,106.0,3.5,13.311807,23.93,-2.751,1.644,3.021,0.1914,0.5219,8.8635,610.8186,3.1603,0.2911,0.2323,0.2611,0.7356,0.4245,42.45
A,0.0,106.0,4.1,14.485109,17.23,-2.908,1.268,3.695,0.204,0.4805,6.6598,663.3915,2.4236,0.3686,0.1857,0.1449,0.5806,0.3715,37.15
A,0.0,106.0,4.4,15.388817,12.06,-2.932,1.323,3.046,0.1984,0.5839,7.6043,545.9465,2.7676,0.3342,0.3021,0.1947,0.461,0.3479,34.79
A,0.0,106.0,4.5,14.374606,17.86,-2.81,1.3,2.946,0.196,0.6037,8.4172,528.0486,3.0416,0.3194,0.3244,0.2376,0.5952,0.3985,39.85
A,0.0,106.0,5.1,15.969987,8.74,-2.825,1.277,3.712,0.1915,0.4859,6.0129,656.1274,2.2078,0.2917,0.1918,0.1108,0.3842,0.2757,27.57
A,0.0,106.0,5.2,15.081265,13.82,-2.863,1.25,3.775,0.1893,0.4932,6.2609,646.3352,2.2913,0.2782,0.2,0.1239,0.5017,0.314,31.4
A,0.0,106.0,5.3,15.081265,13.82,-2.863,1.25,3.775,0.1893,0.4932,6.2609,646.3352,2.2913,0.2782,0.2,0.1239,0.5017,0.314,31.4
A,0.0,106.0,5.4,15.255767,12.82,-2.818,1.361,3.338,0.1892,0.5368,6.9996,593.888,2.5494,0.2775,0.2491,0.1628,0.4786,0.3207,32.07
A,0.0,106.0,5.5,14.347595,18.01,-2.904,1.823,3.243,0.1968,0.5571,7.6607,572.239,2.7768,0.3243,0.2719,0.1977,0.5987,0.3859,38.59
A,0.0,114.0,3.1,14.280771,18.4,-3.382,1.414,3.725,0.2024,0.455,6.7006,700.5619,2.4281,0.3588,0.157,0.147,0.6077,0.3728,37.28
A,0.0,114.0,3.4,13.942188,20.33,-3.057,1.52,3.444,0.1909,0.4677,7.4234,681.5214,2.6671,0.288,0.1713,0.1852,0.6523,0.3728,37.28
